item_code,product_name,product_type,retail_price,curr,measurements,width_cm,depth_cm,height_cm,seats,composition,shade,hero_image,product_page,stock_status,blurb
H104137,"Ava Low Back Bar Chair - Black Ash Veneer, Walnut",Bar Stools & Counter Stools,S$179.00,SGD,,,,74.5,,"leather, wood, oak",black,https://hipvan-images-production.imgix.net/product-images/7d6cc2f2-8631-4fcd-98e0-6c707b8e93df/Ava-low-back-bar-chair-black-walnut-angle.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/ava-low-back-bar-chair-black-ash-veneer-walnut,InStock,The Ava Bar Chair is a high stool with a shape that ensures great freedom of movement. It makes various sittin
H108347,Hana 3 Seater Sofa - Light Grey,(Sale) Sofas & Sofa Beds,S$249.00,SGD,165 x 45 x 45.5,,,,3,"fabric, leather, wood",grey,https://hipvan-images-production.imgix.net/product-images/38896016-29ef-4123-9970-dd51d353736d/Nara-by-HipVan--Hana-3-Seater-Sofa_--Light-Grey-25.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/hana-3-seater-sofa-light-grey,InStock,Say hello to the Hana Sofa —a zen-inspired beauty that blooms in any space with its plush comfort and solid wo
H119822,Tyrus Dining Table 2m,10 Seater Dining Tables,S$499.00,SGD,,68.7,,64.8,,"fabric, leather, wood",beige,https://hipvan-images-production.imgix.net/product-images/9ac9574a-9166-4e05-bb09-c6f1d02813ee/Black-Dining-Tables-by-HipVan--Tyrus-Dining-Table-2m-14.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/tyrus-dining-table-2m,LimitedAvailability,"The Tyrus Dining Table is the perfect table for the modern professional. Made in 100% solid wood, this sleek d"
H120173,Hana 2 Seater Sofa - Charcoal,(Sale) Sofas & Sofa Beds,S$199.00,SGD,110 x 45 x 45.5,,,,2,"fabric, leather, wood",grey,https://hipvan-images-production.imgix.net/product-images/e4121b1b-7060-403d-a55d-74da45603575/Hana-by-HipVan--Hana_2-Seater-Sofa--Charcoal-26.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/hana-2-seater-sofa-charcoal,InStock,Say hello to the Hana Sofa —a zen-inspired beauty that blooms in any space with its plush comfort and solid wo
H121023,Titus Concrete Dining Table 1.8m,Concrete Dining Tables,S$499.00,SGD,,,,68,,"leather, wood, steel",black,https://hipvan-images-production.imgix.net/product-images/541dbc2b-67d4-4538-a1ab-1cb21b6f8c7c/Concrete-Furniture-by-HipVan--Titus-Concrete-Dining-Table-1-8m-13.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/titus-concrete-dining-table-1-8m,InStock,The combination of steel and concrete in our Titus Concrete Dining Table instantly refines your living space a
H121981,Ryland Concrete Console Table 1.4m,Console Tables,S$429.00,SGD,,120,,,,"leather, wood, oak",black,https://hipvan-images-production.imgix.net/product-images/691ac7fe-b63f-4f2f-870f-bc778cbc55bb/HV-Atelier-Storage---Accent-Furniture--Ryland-Concrete-Console-Table-1-4m-4.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/ryland-concrete-console-table-1-4m,OutOfStock,"Industrial style does not always mean rusted metal. With the raw look of concrete, the Ryland Concrete Console"
HV-NOPRICE,Marlow Fabric 3 Seater Sofa,Bar Stools & Counter Stools,,SGD,,,,74.5,,"leather, wood, oak",black,https://hipvan-images-production.imgix.net/product-images/7d6cc2f2-8631-4fcd-98e0-6c707b8e93df/Ava-low-back-bar-chair-black-walnut-angle.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/ava-low-back-bar-chair-black-ash-veneer-walnut,InStock,The Ava Bar Chair is a high stool with a shape that ensures great freedom of movement. It makes various sittin
H122374,Hana 3 Seater Sofa with Hana Armchair - Light Grey,3 + 1 Seater Sofa Sets,S$359.00,SGD,165 x 45 x 45.5,,,,3,"fabric, leather, wood",black,https://hipvan-images-production.imgix.net/product-images/3fb0f331-38f1-4f15-8005-4780c92398e0/Sofa-Sets-by-HipVan--Hana-3-Seater-Sofa-with-Hana-Armchair--Light-Grey-8.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/hana-3-seater-sofa-with-hana-armchair-light-grey,InStock,Say hello to the Hana Sofa —a zen-inspired beauty that blooms in any space with its plush comfort and solid wo
H122384,"Tucson 3 Seater Sofa with Tucson Armchair - Cocoa, Espresso (Faux Leather)",3 + 1 Seater Sofa Sets,S$549.00,SGD,150 x 52 x 41,,,,3,"fabric, leather, wood",black,https://hipvan-images-production.imgix.net/product-images/70e33ea1-fff0-45b0-9260-b297a9541ad6/Tucson-espresso-set-main.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/tucson-3-seater-sofa-with-tucson-armchair-cocoa-espresso-faux-leather,InStock,"Meet the Tucson Sofa: a sleek, Scandinavian marvel with firm, button-tufted cushions and a stylish angular fra"
H128469,Hana 2 Seater Sofa with Hana Armchair - Charcoal,2 + 1 Seater Sofa Sets,S$319.00,SGD,110 x 45 x 45.5,,,,2,"fabric, leather, velvet",black,https://hipvan-images-production.imgix.net/product-images/cfa1a33d-b190-47d6-8286-42a3690ef92b/HipVan-Bundles--Hana-Loveseat-with-Hana-Armchair--Charcoal-1.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/hana-2-seater-sofa-with-hana-armchair-charcoal,OutOfStock,Say hello to the Hana Sofa —a zen-inspired beauty that blooms in any space with its plush comfort and solid wo
H128905,Bennett 3 Seater Sofa with Bennett Armchair - Gray Owl,3 + 1 Seater Sofa Sets,S$709.00,SGD,52 x 50 x 45,,,,3,"leather, wood, oak",black,https://hipvan-images-production.imgix.net/product-images/fc569ba4-000c-4187-ad0d-c9d5573d00e2/Sofa-Sets-by-HipVan--Bennett-3-Seater-Sofa-with-Bennett-Armchair--Gray-Owl-23.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/bennett-3-seater-sofa-with-bennett-armchair-gray-owl,OutOfStock,"A modern take on a mid-century classic, the Bennett Armchair aims to bring great comfort to your home. Filled "
HV-POA,Anton Marble Coffee Table,(Sale) Sofas & Sofa Beds,Price on request,SGD,165 x 45 x 45.5,,,,3,"fabric, leather, wood",grey,https://hipvan-images-production.imgix.net/product-images/38896016-29ef-4123-9970-dd51d353736d/Nara-by-HipVan--Hana-3-Seater-Sofa_--Light-Grey-25.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/hana-3-seater-sofa-light-grey,InStock,Say hello to the Hana Sofa —a zen-inspired beauty that blooms in any space with its plush comfort and solid wo
H128908,Bennett 2 Seater Sofa with Bennett Armchair - Midnight,2 + 1 Seater Sofa Sets,S$569.00,SGD,52 x 50 x 45,,,,2,"leather, velvet, wood",black,https://hipvan-images-production.imgix.net/product-images/c3490a71-33a3-4bb0-be93-1093eae719d0/Sofa-Sets-by-HipVan--Bennett-2-Seater-Sofa-with-Bennett-Armchair--Midnight-13.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/bennett-2-seater-sofa-with-bennett-armchair-midnight,OutOfStock,"A modern take on a mid-century classic, the Bennett Armchair aims to bring great comfort to your home. Filled "
H132133,"Pillar Coat Rack with Stool - Black, Walnut",Clothes Racks,S$209.00,SGD,,,,50,,"leather, wood, oak",beige,https://hipvan-images-production.imgix.net/product-images/db401681-1c27-4148-859e-e4207a429e2e/Umbra--Pillar-Coat-Rack-with-Stool--Black-Walnut-8.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/pillar-coat-rack-with-stool-black-walnut,OutOfStock,Finding multi-functional furniture pieces that take up little space can be a difficult task. Both versatile an
H153628,Bentley 3 Seater Sofa in Jet Black (Faux Leather) with Abner Lounge Chair with Ottoman in Black,3 + 1 Seater Sofa Sets,"S$2,339.00",SGD,162 x 51 x 38,,,,3,"leather, wood, oak",black,https://hipvan-images-production.imgix.net/product-images/512d5d32-2b49-45db-ab77-958cec65b31c/Sofa-Sets-by-HipVan--Bentley-3-Seater-Sofa-in-Jet-Black-_Faux-Leather_-with-Abner-Lounge-Chair-with-Ottoman-in-Black-1.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/bentley-3-seater-sofa-in-jet-black-faux-leather-with-abner-lounge-chair-with-ottoman-in-black,InStock,Introducing the Bentley Sofa: a modern industrial masterpiece with a sleek flair that's sure to impress.With i
H153667,Aston 2 Seater Sofa with Aston Armchair - Seal,2 + 1 Seater Sofa Sets,S$899.00,SGD,,,48,38,2,"leather, velvet, wood",black,https://hipvan-images-production.imgix.net/product-images/7b6ed751-32d4-4375-852e-8e1fa75604e8/Sofa-Sets-by-HipVan--Aston-2-Seater-Sofa-with-Aston-Armchair--Seal-11.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/aston-2-seater-sofa-with-aston-armchair-seal,InStock,This vintage Aston Sofa is unique and stands out among all the modern century styles. It features the beautifu
HV-DIM2,Kyoto Rattan Bench,10 Seater Dining Tables,S$499.00,SGD,,,,,,"fabric, leather, wood",beige,https://hipvan-images-production.imgix.net/product-images/9ac9574a-9166-4e05-bb09-c6f1d02813ee/Black-Dining-Tables-by-HipVan--Tyrus-Dining-Table-2m-14.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/tyrus-dining-table-2m,LimitedAvailability,"The Tyrus Dining Table is the perfect table for the modern professional. Made in 100% solid wood, this sleek d"
H153671,Baleno 2 Seater Sofa with Baleno Armchair - Espresso (Faux Leather),2 + 1 Seater Sofa Sets,S$749.00,SGD,56 x 67 x 42,,,,2,"leather, velvet, wood",black,https://hipvan-images-production.imgix.net/product-images/e94ab531-cd72-4a5c-b90a-49e50ab7f6ce/Sofa-Sets-by-HipVan--Baleno-2-Seater-Sofa-with-Baleno-Armchair--Espresso-_Faux-Leather_-15.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/baleno-2-seater-sofa-with-baleno-armchair-espresso-faux-leather,InStock,"Sink into the plush Baleno Sofa. With soft backrest yet firmer seating filled with high density foam, this sof"
H153717,Baleno 3 Seater Sofa with Baleno Armchair - Espresso (Faux Leather),3 + 1 Seater Sofa Sets,S$849.00,SGD,56 x 67 x 42,,,,3,"leather, wood, oak",black,https://hipvan-images-production.imgix.net/product-images/5972d0c4-579e-4894-ba5e-b4387c74bbae/Sofa-Sets-by-HipVan--Baleno-3-Seater-Sofa-with-Baleno-Armchair--Espresso-_Faux-Leather_-15.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/baleno-3-seater-sofa-with-baleno-armchair-espresso-faux-leather,InStock,"Sink into the plush Baleno Sofa. With soft backrest yet firmer seating filled with high density foam, this sof"
H153720,Aston 3 Seater Sofa with Aston Armchair - Seal,3 + 1 Seater Sofa Sets,S$999.00,SGD,,,48,38,3,"leather, wood, oak",black,https://hipvan-images-production.imgix.net/product-images/93893aa7-f91c-4106-8b42-b6489ec7933b/Sofa-Sets-by-HipVan--Aston-3-Seater-Sofa-with-Aston-Armchair--Seal-_Fabric_-11.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/aston-3-seater-sofa-with-aston-armchair-seal,InStock,This vintage Aston Sofa is unique and stands out among all the modern century styles. It features the beautifu
H157422,Nolan L-Shaped Sofa - Dark Grey (Premium Aniline Leather),(Sale) Sofas & Sofa Beds,"S$1,499.00",SGD,254 x 75 x 44.5,,,,,"leather, wood, oak",brown,https://hipvan-images-production.imgix.net/product-images/37c347fb-4d5e-457a-bb0f-868c02b8e5a9/HV-Atelier-Sofas---Lounge-Chairs--Nolan-L-Shaped-Sofa--Dark-Grey-_Premium-Aniline-Leather_-13.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/nolan-l-shaped-sofa-dark-grey-premium-aniline-leather,LimitedAvailability,"A classic Scandinavian design with deep tufting on its seats, the Nolan Sofa adds timeless charm to any living"
HV-DIMZERO,Wallace Wall Shelf,(Sale) Sofas & Sofa Beds,S$199.00,SGD,90 x 0 x 22,,,,2,"fabric, leather, wood",grey,https://hipvan-images-production.imgix.net/product-images/e4121b1b-7060-403d-a55d-74da45603575/Hana-by-HipVan--Hana_2-Seater-Sofa--Charcoal-26.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/hana-2-seater-sofa-charcoal,InStock,Say hello to the Hana Sofa —a zen-inspired beauty that blooms in any space with its plush comfort and solid wo
H166227,Freya Swivel Lounge Chair,(Sale) Sofas & Sofa Beds,S$349.00,SGD,,,60,46,,"fabric, leather, wood",natural,https://hipvan-images-production.imgix.net/product-images/faf9969b-5db2-4126-8018-2e615a0031bd/Freya-by-HipVan--Freya-Swivel-Lounge-Chair-13.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/freya-swivel-lounge-chair,InStock,"The Freya Swivel Lounge Chair, with its boucle fabric and minimalist design, offers a chic and cozy addition t"
H171927,Cameron 3 Seater Storage Sofa - Orion (Fabric),(Sale) Sofas & Sofa Beds,S$289.00,SGD,,,60,43,3,"fabric, leather, wood",grey,https://hipvan-images-production.imgix.net/product-images/a675a31d-95fa-437e-8a34-37fb2f8ddca7/HV-Modern-Sofas---Lounge-Chairs--Cameron-3-Seater-Storage-Sofa--Orion-12-1698914988.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/cameron-3-seater-storage-sofa-orion-fabric,InStock,Discover the Cameron Sofa: a modular sofa that blends modern design with clever storage solutions.
H173380,Hana 3 Seater Sofa with Hana Armchair - Sand,3 + 1 Seater Sofa Sets,S$359.00,SGD,54 x 45 x 45.5,,,,3,"fabric, leather, wood",black,https://hipvan-images-production.imgix.net/product-images/b4a5eec4-341e-4bac-bc67-e4201fdfa144/HV-Basic-Sofas---Lounge-Chairs--Hana-3-Seater-Sofa-with-Hana-Armchair--Sand-1.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/hana-3-seater-sofa-with-hana-armchair-sand,InStock,Say hello to the Hana Sofa —a zen-inspired beauty that blooms in any space with its plush comfort and solid wo
H173384,Soma 3 Seater Sofa with Soma Armchair - Grey (Scratch Resistant),3 + 1 Seater Sofa Sets,S$849.00,SGD,58 x 52 x 49,,,,3,"fabric, leather, velvet",black,https://hipvan-images-production.imgix.net/product-images/e131c9aa-bf6e-4438-9319-8dc4e74e881f/Soma-by-HipVan--Soma-3-Seater-Sofa-with-Soma-Armchair--Grey-_Scratch-Resistant_-14.png?auto=format&bg=fff&fit=fill&h=400&w=400,https://www.hipvan.com/products/soma-3-seater-sofa-with-soma-armchair-grey-scratch-resistant,InStock,"The Soma Sofa features sleek Scandinavian design and scratch-resistant fabric, perfect for a stylish and durab"
