"sku","name","category","price","currency","color","material","width_cm","depth_cm","height_cm","image_url","product_url","stock"
"ST-406.185.28","SALTMYRAN 2-seat sofa - Öreryd grey-beige","Two seater sofas","TBD","SGD","beige","polypropylene","147","79","77","https://www.ikea.com/sg/en/images/products/saltmyran-2-seat-sofa-oereryd-grey-beige__1576105_pe1032229_s5.jpg","https://www.ikea.com/sg/en/p/saltmyran-2-seat-sofa-oereryd-grey-beige-40618528/","in_stock"
"ST-206.185.34","SALTMYRAN 2-seat sofa - Öreryd blue","Two seater sofas","199","SGD","blue","polypropylene","147","79","77","https://www.ikea.com/sg/en/images/products/saltmyran-2-seat-sofa-oereryd-blue__1578448_pe1034096_s5.jpg","https://www.ikea.com/sg/en/p/saltmyran-2-seat-sofa-oereryd-blue-20618534/","in_stock"
"ST-706.243.06","RULLERUM 2-seat sofa with electric recliner - Tornarp dark grey-brown","Recliner sofas","999","SGD","dark grey","polyester wadding","184","94","98","https://www.ikea.com/sg/en/images/products/rullerum-2-seat-sofa-with-electric-recliner-tornarp-dark-grey-brown__1577881_pe1033627_s5.jpg","https://www.ikea.com/sg/en/p/rullerum-2-seat-sofa-with-electric-recliner-tornarp-dark-grey-brown-70624306/","in_stock"
"ST-506.243.07","RULLERUM 2-seat sofa with electric recliner - Grann/Bomstad beige","Recliner sofas","1399","SGD","beige","polyester wadding","184","94","98","https://www.ikea.com/sg/en/images/products/rullerum-2-seat-sofa-with-electric-recliner-grann-bomstad-beige__1577886_pe1033632_s5.jpg","https://www.ikea.com/sg/en/p/rullerum-2-seat-sofa-with-electric-recliner-grann-bomstad-beige-50624307/","in_stock"
"ST-306.243.08","RULLERUM 2-seat sofa with electric recliner - Grann/Bomstad golden-brown","Recliner sofas","1399","SGD","brown","polyester wadding","184","94","98","https://www.ikea.com/sg/en/images/products/rullerum-2-seat-sofa-with-electric-recliner-grann-bomstad-golden-brown__1577871_pe1033617_s5.jpg","https://www.ikea.com/sg/en/p/rullerum-2-seat-sofa-with-electric-recliner-grann-bomstad-golden-brown-30624308/","in_stock"
"ST-196.276.62","SALTSJÖBADEN 3-seat sofa - Vittangi light beige/white","Three seater sofas","619","SGD","light beige","polyester wadding",,,,"https://www.ikea.com/sg/en/images/products/saltsjoebaden-3-seat-sofa-vittangi-light-beige-white__1576788_pe1032708_s5.jpg","https://www.ikea.com/sg/en/p/saltsjoebaden-3-seat-sofa-vittangi-light-beige-white-s19627662/","in_stock"
"ST-896.275.07","SALTSJÖBADEN 3-seat sofa - Fridtuna light beige","Three seater sofas","789","SGD","light beige","polyester wadding","205","88","90","https://www.ikea.com/sg/en/images/products/saltsjoebaden-3-seat-sofa-fridtuna-light-beige__1576820_pe1032746_s5.jpg","https://www.ikea.com/sg/en/p/saltsjoebaden-3-seat-sofa-fridtuna-light-beige-s89627507/","in_stock"
"ST-896.275.31","SALTSJÖBADEN 3-seat sofa - Tonerud red-brown","Three seater sofas","639","SGD","brown","polyester wadding","205","88","90","https://www.ikea.com/sg/en/images/products/saltsjoebaden-3-seat-sofa-tonerud-red-brown__1576840_pe1032766_s5.jpg","https://www.ikea.com/sg/en/p/saltsjoebaden-3-seat-sofa-tonerud-red-brown-s89627531/","in_stock"
"ST-896.274.99","SALTSJÖBADEN 3-seat sofa - Blekinge white","Three seater sofas","589","SGD","white","polyester wadding","205","88","90","https://www.ikea.com/sg/en/images/products/saltsjoebaden-3-seat-sofa-blekinge-white__1576819_pe1032745_s5.jpg","https://www.ikea.com/sg/en/p/saltsjoebaden-3-seat-sofa-blekinge-white-s89627499/","in_stock"
"ST-696.275.27","SALTSJÖBADEN 3-seat sofa - Tonerud grey","Three seater sofas","639","SGD","grey","polyester wadding","205","88","90","https://www.ikea.com/sg/en/images/products/saltsjoebaden-3-seat-sofa-tonerud-grey__1576839_pe1032768_s5.jpg","https://www.ikea.com/sg/en/p/saltsjoebaden-3-seat-sofa-tonerud-grey-s69627527/","in_stock"
"ST-596.275.23","SALTSJÖBADEN 3-seat sofa - Gunnared medium grey","Three seater sofas","789","SGD","grey","polyester wadding","205","88","90","https://www.ikea.com/sg/en/images/products/saltsjoebaden-3-seat-sofa-gunnared-medium-grey__1576813_pe1032739_s5.jpg","https://www.ikea.com/sg/en/p/saltsjoebaden-3-seat-sofa-gunnared-medium-grey-s59627523/","in_stock"
"ST-196.275.15","SALTSJÖBADEN 3-seat sofa - Gunnared beige","Three seater sofas","789","SGD","beige","polyester wadding","205","88","90","https://www.ikea.com/sg/en/images/products/saltsjoebaden-3-seat-sofa-gunnared-beige__1576814_pe1032740_s5.jpg","https://www.ikea.com/sg/en/p/saltsjoebaden-3-seat-sofa-gunnared-beige-s19627515/","in_stock"
"ST-696.250.00","RULLERUM 3-seat sofa w 2 electric recliners - Tornarp dark grey-brown","Recliner sofas","1299","SGD","dark grey","polyester wadding","259","94","98","https://www.ikea.com/sg/en/images/products/rullerum-3-seat-sofa-w-2-electric-recliners-tornarp-dark-grey-brown__1577882_pe1033630_s5.jpg","https://www.ikea.com/sg/en/p/rullerum-3-seat-sofa-w-2-electric-recliners-tornarp-dark-grey-brown-s69625000/","in_stock"
