"product_id","product_title","unit_price_usd","department","color","finish","w_in","d_in","h_in","product_image","product_page","availability"
"MR-105.750.78","ÄPPLARYD 3-seat sofa - Gunnared black/grey","unknown","Three seater sofas","black","polypropylene","90.9","36.6","32.3","https://www.ikea.com/sg/en/images/products/aepplaryd-3-seat-sofa-gunnared-black-grey__1577868_pe1033614_s5.jpg","https://www.ikea.com/sg/en/p/aepplaryd-3-seat-sofa-gunnared-black-grey-10575078/","in_stock"
"MR-896.192.01","MANNARP 3-seat sofa with chaise longue - Saxemara grey-beige","809","Fabric sofas with chaise longues","beige","polypropylene","90.2","37.4","38.2","https://www.ikea.com/sg/en/images/products/mannarp-3-seat-sofa-with-chaise-longue-saxemara-grey-beige__1578530_pe1034168_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-3-seat-sofa-with-chaise-longue-saxemara-grey-beige-s89619201/","in_stock"
"MR-996.040.63","MANNARP 3-seat sofa with chaise longue - Saxemara grey-beige","809","Fabric sofas with chaise longues","beige","polypropylene","90.2","37.4","37.8","https://www.ikea.com/sg/en/images/products/mannarp-3-seat-sofa-with-chaise-longue-saxemara-grey-beige__1578263_pe1033930_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-3-seat-sofa-with-chaise-longue-saxemara-grey-beige-s99604063/","in_stock"
"MR-496.191.99","MANNARP 3-seat sofa with chaise longue - Gunnared beige","789","Fabric sofas with chaise longues","beige","polypropylene","90.2","37.4","38.2","https://www.ikea.com/sg/en/images/products/mannarp-3-seat-sofa-with-chaise-longue-gunnared-beige__1578535_pe1034173_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-3-seat-sofa-with-chaise-longue-gunnared-beige-s49619199/","in_stock"
"MR-195.986.74","MANNARP 3-seat sofa with chaise longue - Saxemara black-blue","809","Fabric sofas with chaise longues","black","polypropylene","90.2","37.4","37.8","https://www.ikea.com/sg/en/images/products/mannarp-3-seat-sofa-with-chaise-longue-saxemara-black-blue__1578261_pe1033923_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-3-seat-sofa-with-chaise-longue-saxemara-black-blue-s19598674/","in_stock"
"MR-096.192.00","MANNARP 3-seat sofa with chaise longue - Saxemara black-blue","809","Fabric sofas with chaise longues","black","polypropylene","90.2","37.4","38.2","https://www.ikea.com/sg/en/images/products/mannarp-3-seat-sofa-with-chaise-longue-saxemara-black-blue__1578543_pe1034182_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-3-seat-sofa-with-chaise-longue-saxemara-black-blue-s09619200/","in_stock"
"MR-096.040.67","MANNARP 3-seat sofa with chaise longue - Gunnared beige","789","Fabric sofas with chaise longues","beige","polypropylene","90.2","37.4","37.8","https://www.ikea.com/sg/en/images/products/mannarp-3-seat-sofa-with-chaise-longue-gunnared-beige__1578254_pe1033922_s5.jpg","https://www.ikea.com/sg/en/p/mannarp-3-seat-sofa-with-chaise-longue-gunnared-beige-s09604067/","in_stock"
"MR-093.066.66","VIMLE 3-seat sofa - with open end/Grann/Bomstad black","1324","Three seater sofas","black","polypropylene","89.4","38.6","31.5","https://www.ikea.com/sg/en/images/products/vimle-3-seat-sofa-with-open-end-grann-bomstad-black__1577096_pe1032935_s5.jpg","https://www.ikea.com/sg/en/p/vimle-3-seat-sofa-with-open-end-grann-bomstad-black-s09306666/","in_stock"
"MR-206.185.05","GULLVALLA 2-seat sofa - Silkeryd dark grey-beige","299","Two seater sofas","dark grey","polypropylene","55.9","32.7","30.7","https://www.ikea.com/sg/en/images/products/gullvalla-2-seat-sofa-silkeryd-dark-grey-beige__1578446_pe1034089_s5.jpg","https://www.ikea.com/sg/en/p/gullvalla-2-seat-sofa-silkeryd-dark-grey-beige-20618505/","in_stock"
"MR-606.185.08","GULLVALLA 2-seat sofa - Silkeryd grey-green","299","Two seater sofas","green","polypropylene","55.9","32.7","30.7","https://www.ikea.com/sg/en/images/products/gullvalla-2-seat-sofa-silkeryd-grey-green__1576773_pe1032703_s5.jpg","https://www.ikea.com/sg/en/p/gullvalla-2-seat-sofa-silkeryd-grey-green-60618508/","in_stock"
