"item_code","display_name","price","currency","product_type","hue","composition","dimensions","hero_image","buy_link","stock"
"DH-595.363.06","LILLEHEM Modular corner sofa, 2-seat - Gunnared dark grey/metal","789","SGD","Modular sofas","dark grey","polypropylene","148 x 76 x 73 cm","","https://www.ikea.com/sg/en/p/lillehem-modular-corner-sofa-2-seat-gunnared-dark-grey-metal-s59536306/","in_stock"
"DH-195.362.90","LILLEHEM Modular corner sofa, 2-seat - Gunnared/brown-red wood","789","SGD","Modular sofas","brown","polypropylene","148 x 76 x 73 cm","https://www.ikea.com/sg/en/images/products/lillehem-modular-corner-sofa-2-seat-gunnared-brown-red-wood__1577768_pe1033512_s5.jpg","https://www.ikea.com/sg/en/p/lillehem-modular-corner-sofa-2-seat-gunnared-brown-red-wood-s19536290/","in_stock"
"DH-095.362.95","LILLEHEM Modular corner sofa, 2-seat - Gunnared/brown-red metal","789","SGD","Modular sofas","brown","polypropylene","148 x 76 x 73 cm","https://www.ikea.com/sg/en/images/products/lillehem-modular-corner-sofa-2-seat-gunnared-brown-red-metal__1577767_pe1033514_s5.jpg","https://www.ikea.com/sg/en/p/lillehem-modular-corner-sofa-2-seat-gunnared-brown-red-metal-s09536295/","in_stock"
"DH-695.362.78","LILLEHEM Modular corner sofa, 2-seat - Vissle beige/wood","719","SGD","Modular sofas","beige","polypropylene","148 x 76 x 73 cm","https://www.ikea.com/sg/en/images/products/lillehem-modular-corner-sofa-2-seat-vissle-beige-wood__1577764_pe1033511_s5.jpg","https://www.ikea.com/sg/en/p/lillehem-modular-corner-sofa-2-seat-vissle-beige-wood-s69536278/","check"
"DH-495.362.84","LILLEHEM Modular corner sofa, 2-seat - Vissle beige/metal","719","SGD","Modular sofas","beige","polypropylene","148 x 76 x 73 cm","https://www.ikea.com/sg/en/images/products/lillehem-modular-corner-sofa-2-seat-vissle-beige-metal__1577762_pe1033509_s5.jpg","https://www.ikea.com/sg/en/p/lillehem-modular-corner-sofa-2-seat-vissle-beige-metal-s49536284/","check"
"DH-296.215.89","SÖDERHAMN 1-seat section - Kelinge beige","395","SGD","Modular sofas","beige","polyester wadding","93 x 99 x 83 cm","https://www.ikea.com/sg/en/images/products/soederhamn-1-seat-section-kelinge-beige__1499671_pe1006798_s5.jpg","https://www.ikea.com/sg/en/p/soederhamn-1-seat-section-kelinge-beige-s29621589/","in_stock"
"DH-996.215.95","SÖDERHAMN 1-seat section - Kelinge dark yellow","395","SGD","Modular sofas","yellow","polyester wadding","93 x 99 x 83 cm","https://www.ikea.com/sg/en/images/products/soederhamn-1-seat-section-kelinge-dark-yellow__1576762_pe1032692_s5.jpg","https://www.ikea.com/sg/en/p/soederhamn-1-seat-section-kelinge-dark-yellow-s99621595/","in_stock"
"DH-896.291.44","SÖDERHAMN 1-seat section - Gunnared beige","395","SGD","Modular sofas","beige","polyester wadding","93 x 99 x 83 cm","https://www.ikea.com/sg/en/images/products/soederhamn-1-seat-section-gunnared-beige__1576984_pe1032870_s5.jpg","https://www.ikea.com/sg/en/p/soederhamn-1-seat-section-gunnared-beige-s89629144/","in_stock"
"DH-896.215.86","SÖDERHAMN 1-seat section - Fridtuna dark grey-blue","415","SGD","Modular sofas","dark grey","polyester wadding","93 x 99 x 83 cm","https://www.ikea.com/sg/en/images/products/soederhamn-1-seat-section-fridtuna-dark-grey-blue__1572864_pe1031132_s5.jpg","https://www.ikea.com/sg/en/p/soederhamn-1-seat-section-fridtuna-dark-grey-blue-s89621586/","in_stock"
"DH-794.496.38","SÖDERHAMN 1-seat section - Fridtuna light beige","435","SGD","Modular sofas","light beige","polyester wadding","93 x 99 x 83 cm","https://www.ikea.com/sg/en/images/products/soederhamn-1-seat-section-fridtuna-light-beige__1057689_pe848892_s5.jpg","https://www.ikea.com/sg/en/p/soederhamn-1-seat-section-fridtuna-light-beige-s79449638/","in_stock"
